"Test","Prueba"
"Username","Nombre de usuario"
"Username / Company name","Nombre de usuario / <span lang=""en"">Company name</span>"
"Password / Web service key","Contraseña / <span lang=""en"">Web service key</span>"
"Other shipping methods","Otros métodos de envío"
"INCOMPLETE MODULE INSTALLATION","INSTALLACIÓN INCOMPLETA DEL MODULO"
"There is conflict (<em>%s</em>).","Hay un conflicto (<em lang=""en"">%s</em>)."
"Show map","Mostrar tarjeta"
"%d days","%d días"
"%d day","%d día"
"%d/%d days","%d/%d días"
"Estimated delivery: %s","Entrega estimada: %s"
"Estimated delivery: from %s to %s","Entrega estimada: del %s al %s"
"%s: closed","%s: cerrado"
"Shipped At","Enviado el"
"Choose this location","Elegir esta dirección"
"There are no results.","No hay resultados."
"your postal code:","tu código postal:"
"your city:","tu ciudad:"
"your country:","tu país:"
"Choose my delivery location","Elegir mi dirección de envío"