"Tracking URL","URL de suivi"
"Auto-escaping","Auto-échappement"
"Stop to first match","Arrêt à la première correspondance trouvée"
"Weight unit","Unité de poids"
"Bundle Product Management","Gestion des produits groupés"
"Item processing","Traitement des items"
"Item options on","Options de l'item sur"
"Item data on","Données de l'item sur"
"Product data on","Données du produit sur"
"Configurable Product Management","Gestion des produits configurables"
"track the package","suivre le colis"
"Self","Lui-même"
"Children","Enfant"